,DATA,HORA_UTC,PRECIPITACAO_TOTAL_mm,PRESSAO_ATM_NIVEL_ESTACAO_mB,PRESSAO_ATM_MAX_HORA_ANT_mB,PRESSAO_ATM_MIN_HORA_ANT_mB,RADIACAO_GLOBAL_KJporm2,TEMPERATURA_AR_BULBO_SECO_grC,TEMPERATURA_PONTO_ORVALHO_grC,TEMPERATURA_MAX_HORA_ANT_grC,TEMPERATURA_MIN_HORA_ANT_grC,TEMPERATURA_ORVALHO_MAX_HORA_ANT_grC,TEMPERATURA_ORVALHO_MIN_HORA_ANT_grC,UMIDADE_REL_MAX_HORA_ANT_p100,UMIDADE_REL_MIN_HORA_ANT_p100,UMIDADE_REL_AR_p100,DIRECAO_VENTO_gr,RAJADA_MAX_VENTO_mpors,VELOCIDADE_VENTO_HORARIA_mpors
0,01/01/2021,0000 UTC,0,1008,"1008,2","1007,9",,26,"20,9","26,3","25,9","21,3","20,6",74.0,72.0,73.0,93.0,"5,2","1,5"
1,01/01/2021,0100 UTC,0,1008,"1008,1",1008,,"25,9","20,9","26,2","25,8",21,"20,8",74.0,73.0,74.0,68.0,"5,2","1,1"
2,01/01/2021,0200 UTC,0,"1007,7","1008,1","1007,7",,"25,6","20,9",26,"25,6","21,1","20,8",76.0,74.0,75.0,72.0,"4,6",1
3,01/01/2021,0300 UTC,0,"1007,9","1007,9","1007,7",,"25,6","21,1","25,7","25,5","21,3","20,9",77.0,75.0,76.0,57.0,"4,3","0,9"
4,01/01/2021,0400 UTC,0,"1007,7","1007,9","1007,6",,"25,5","21,4","25,7","25,4","21,5",21,79.0,76.0,78.0,62.0,"2,7","0,7"
5,01/01/2021,0500 UTC,0,"1007,6","1007,7","1007,4",,"24,9","21,1","25,6","24,9","21,4",21,79.0,78.0,79.0,70.0,"2,8","0,7"
6,01/01/2021,0600 UTC,0,"1007,6","1007,6","1007,5",,"24,8","20,9","25,4","24,8","21,3","20,9",79.0,77.0,79.0,53.0,"2,8","0,5"
7,01/01/2021,0700 UTC,0,"1007,8","1007,8","1007,6",,"24,7",21,25,"24,6","21,1","20,8",80.0,78.0,80.0,8.0,"2,4","0,4"
8,01/01/2021,0800 UTC,0,"1008,2","1008,2","1007,7",,"24,4",21,"24,7","24,3","21,1","20,9",82.0,80.0,82.0,14.0,"1,6","0,5"
9,01/01/2021,0900 UTC,0,"1008,7","1008,7","1008,2",46.5,"24,6","21,5","24,6","24,2","21,5","20,9",83.0,82.0,83.0,30.0,"1,6","0,5"
10,01/01/2021,1000 UTC,0,"1008,7","1008,8","1008,7",294.4,"26,2","21,7","26,3","24,6","22,1","21,4",83.0,76.0,76.0,46.0,"2,9","0,8"
11,01/01/2021,1100 UTC,0,1009,1009,"1008,7",1448.8,"28,7","20,8","28,9","26,2","21,9","20,6",76.0,62.0,63.0,57.0,"4,5","1,2"
12,01/01/2021,1200 UTC,0,"1009,3","1009,3","1008,9",2230.1,"27,9","20,8","30,5","27,9","21,6","19,9",65.0,55.0,65.0,199.0,"3,9","1,2"
13,01/01/2021,1300 UTC,0,"1009,3","1009,3","1009,1",3344.4,"30,9","21,4",31,"27,5","22,6","20,2",70.0,55.0,57.0,136.0,5,"1,1"
14,01/01/2021,1400 UTC,0,"1009,2","1009,4","1009,1",3522.7,"30,8","22,2","31,6",30,"22,2","20,7",61.0,54.0,60.0,160.0,"5,1","1,7"
15,01/01/2021,1500 UTC,0,"1008,6","1009,2","1008,5",3123.9,"30,4","21,3",31,"29,6","22,6",21,63.0,58.0,58.0,130.0,"5,1","1,2"
16,01/01/2021,1600 UTC,0,1008,"1008,6",1008,3635.3,"30,2","21,3","31,8","30,1","22,4","20,8",61.0,55.0,59.0,161.0,"5,4","1,7"
17,01/01/2021,1700 UTC,0,"1007,2",1008,"1007,2",3166.7,"31,6","22,2","31,6",30,"22,6","21,5",63.0,57.0,58.0,91.0,"6,1","1,3"
18,01/01/2021,1800 UTC,0,"1006,9","1007,3","1006,9",2694.0,30,"21,1","31,6",30,"22,3","20,7",61.0,55.0,59.0,88.0,"5,7","1,8"
19,01/01/2021,1900 UTC,0,"1006,7","1006,9","1006,7",2021.9,"29,4",21,"30,5","29,4","21,8","20,6",61.0,57.0,61.0,106.0,"5,7","1,8"
20,01/01/2021,2000 UTC,0,"1006,6","1006,7","1006,5",1041.6,28,"21,5","29,6",28,"21,7","20,9",68.0,60.0,68.0,92.0,"7,1","1,5"
21,01/01/2021,2100 UTC,0,"1006,1","1006,6","1006,1",90.9,"26,8","21,3",28,"26,8","21,5",21,72.0,67.0,72.0,67.0,"5,9","1,7"
22,01/01/2021,2200 UTC,0,"1006,4","1006,4","1006,1",,"26,5","21,3","26,8","26,4","21,4","21,1",74.0,72.0,74.0,70.0,"7,2","1,6"
23,01/01/2021,2300 UTC,0,"1006,7","1006,8","1006,3",,"26,3","21,5","26,4","26,2","21,5","21,3",75.0,74.0,75.0,75.0,"6,8","1,7"
24,02/01/2021,0000 UTC,0,"1007,1","1007,2","1006,7",,"26,2","21,5","26,3","26,2","21,6","21,4",76.0,75.0,76.0,70.0,"7,8","1,7"
25,02/01/2021,0100 UTC,0,"1007,2","1007,4","1007,1",1000.0,"26,1","21,5","26,3",26,"21,6","21,4",76.0,75.0,76.0,63.0,"6,9","1,7"
26,02/01/2021,0200 UTC,0,"1007,2","1007,4","1007,2",1000.0,26,"21,4","26,1","25,9","21,6","21,4",77.0,76.0,76.0,64.0,"5,2","1,4"
27,02/01/2021,0300 UTC,0,"1006,8","1007,2","1006,8",1000.0,"25,5","21,8",26,"25,4","21,8","21,3",80.0,76.0,80.0,55.0,"4,3","0,9"
28,02/01/2021,0400 UTC,0,"1006,5","1006,8","1006,5",1000.0,"25,6","21,8","25,7","25,4","22,1","21,7",81.0,79.0,79.0,65.0,"3,5","0,8"
29,02/01/2021,0500 UTC,0,"1006,1","1006,5","1006,1",,"25,5","21,9","25,7","25,4",22,"21,7",80.0,79.0,80.0,40.0,"4,1",1
30,02/01/2021,0600 UTC,0,1006,"1006,2",1006,,"25,3","21,8","25,6","25,3","21,9","21,6",81.0,80.0,81.0,40.0,"3,7","1,1"
31,02/01/2021,0700 UTC,0,"1006,5","1006,6",1006,,"24,6","21,8","25,3","24,6","21,9","21,5",84.0,81.0,84.0,14.0,"2,8","0,5"
32,02/01/2021,0800 UTC,0,1007,"1007,1","1006,5",,25,"22,2",25,"24,5","22,2","21,7",85.0,84.0,84.0,38.0,"2,1","0,9"
33,02/01/2021,0900 UTC,0,"1007,5","1007,5",1007,50.4,"25,2","22,5","25,2","24,7","22,5",22,86.0,84.0,85.0,33.0,"2,6",1
34,02/01/2021,1000 UTC,0,"1007,4","1007,5","1007,3",180.2,"26,4","22,2","26,4","25,2","22,5","22,1",85.0,78.0,78.0,31.0,"4,2","1,3"
35,02/01/2021,1100 UTC,0,"1007,3","1007,5","1007,3",894.8,"27,8","22,3","27,8","26,4","22,3","21,7",78.0,71.0,72.0,35.0,5,"1,3"
36,02/01/2021,1200 UTC,0,"1007,5","1007,5","1007,3",1065.4,"26,9","22,3","28,9","26,9","22,5","21,3",76.0,67.0,76.0,228.0,4,"0,7"
37,02/01/2021,1300 UTC,0,"1007,3","1007,5","1007,2",983.3,"27,4","21,9","28,9","26,3","23,8","21,7",80.0,69.0,72.0,80.0,"4,4",1
38,02/01/2021,1400 UTC,0,"1007,2","1007,4","1007,2",1368.1,"29,2","21,8","29,2","27,1","22,3",21,73.0,64.0,64.0,93.0,"5,1","1,7"
